date,finance_score,economics_score,psychology_score,baseline_score,adaptive_weight,adaptive_composite,fixed_composite,gap,spy_close
1999-01-04,,-0.02499999999999991,,,,,,,76.27217864990234
1999-01-05,,-0.02499999999999991,,,,,,,77.14399719238281
1999-01-06,,-0.02499999999999991,,,,,,,79.00381469726562
1999-01-07,,-0.02499999999999991,,,,,,,78.61632537841797
1999-01-08,,-0.02499999999999991,,,,,,,79.19754791259766
1999-01-11,,-0.02499999999999991,,,,,,,78.44195556640625
1999-01-12,,-0.02499999999999991,,,,,,,77.02775573730469
1999-01-13,,-0.02499999999999991,,,,,,,76.48529052734375
1999-01-14,,-0.02499999999999991,,,,,,,75.14851379394531
1999-01-15,,-0.02499999999999991,,,,,,,77.10520935058594
1999-01-19,,-0.02499999999999991,,,,,,,77.60894012451172
1999-01-20,,-0.02499999999999991,,,,,,,78.22884368896484
1999-01-21,,-0.02499999999999991,,,,,,,76.15593719482422
1999-01-22,,-0.02499999999999991,,,,,,,75.98159790039062
1999-01-25,,-0.02499999999999991,,,,,,,76.75651550292969
1999-01-26,,-0.02499999999999991,,,,,,,78.15139770507812
1999-01-27,,-0.02499999999999991,,,,,,,77.24082946777344
1999-01-28,,-0.02499999999999991,,,,,,,78.53885650634766
1999-01-29,,-0.02499999999999991,,,,,,,79.13941192626953
1999-02-01,,-0.050000000000000044,,,,,,,78.67445373535156
1999-02-02,,-0.050000000000000044,,,,,,,78.19015502929688
1999-02-03,-0.19999999999999996,-0.050000000000000044,,-0.13571428571428573,,,,,78.98442840576172
1999-02-04,-0.19999999999999996,-0.050000000000000044,,-0.13571428571428573,,,,,77.80265808105469
1999-02-05,-0.19999999999999996,-0.050000000000000044,,-0.13571428571428573,,,,,76.91150665283203
1999-02-08,-0.19999999999999996,-0.050000000000000044,,-0.13571428571428573,,,,,77.0665054321289
1999-02-09,-1.0,-0.050000000000000044,,-0.592857142857143,,,,,75.34227752685547
1999-02-10,-1.0,-0.050000000000000044,,-0.592857142857143,,,,,75.82659912109375
1999-02-11,-0.19999999999999996,-0.050000000000000044,,-0.13571428571428573,,,,,77.5701904296875
1999-02-12,-0.19999999999999996,-0.050000000000000044,,-0.13571428571428573,,,,,76.6402587890625
1999-02-16,0.19999999999999996,-0.050000000000000044,,0.09285714285714283,,,,,76.17533111572266
1999-02-17,-0.6,-0.050000000000000044,,-0.3642857142857143,,,,,76.09783172607422
1999-02-18,-0.6,-0.050000000000000044,,-0.3642857142857143,,,,,76.69839477539062
1999-02-19,-0.6,-0.050000000000000044,,-0.3642857142857143,,,,,77.02775573730469
1999-02-22,0.19999999999999996,-0.050000000000000044,,0.09285714285714283,,,,,79.0813217163086
