date,close
1998-12-22,5.69555139541626
1998-12-23,5.8141326904296875
1998-12-24,5.783530235290527
1998-12-28,5.752928733825684
1998-12-29,5.810305595397949
1998-12-30,5.722328186035156
1998-12-31,5.714679718017578
1999-01-04,5.710855484008789
1999-01-05,5.680254936218262
1999-01-06,5.867681503295898
1999-01-07,5.840907573699951
1999-01-08,5.867681503295898
1999-01-11,5.75675630569458
1999-01-12,5.6687774658203125
1999-01-13,5.584629058837891
1999-01-14,5.477521896362305
1999-01-15,5.5616774559021
1999-01-19,5.5616774559021
1999-01-20,5.515778064727783
1999-01-21,5.5616774559021
1999-01-22,5.531075477600098
1999-01-25,5.5234246253967285
1999-01-26,5.469873905181885
1999-01-27,5.370420455932617
1999-01-28,5.339820384979248
1999-01-29,5.339820384979248
1999-02-01,5.286267280578613
1999-02-02,5.293920516967773
1999-02-03,5.416324615478516
1999-02-04,5.446922779083252
1999-02-05,5.599926471710205
1999-02-08,5.67642879486084
1999-02-09,5.569329261779785
1999-02-10,5.584629058837891
1999-02-11,5.538724422454834
1999-02-12,5.423974990844727
1999-02-16,5.385723114013672
1999-02-17,5.33217191696167
1999-02-18,5.347472190856934
1999-02-19,5.316870212554932
1999-02-22,5.370420455932617
1999-02-23,5.324521064758301
1999-02-24,5.3015666007995605
1999-02-25,5.32834529876709
1999-02-26,5.293920516967773
1999-03-01,5.240364074707031
1999-03-02,5.186819076538086
1999-03-03,5.3015666007995605
1999-03-04,5.492824077606201
1999-03-05,5.596105098724365
1999-03-08,5.67642879486084
1999-03-09,5.615227699279785
1999-03-10,5.936534881591797
1999-03-11,6.020686149597168
1999-03-12,5.997735023498535
1999-03-15,5.9518351554870605
1999-03-16,5.921233654022217
1999-03-17,6.0742387771606445
1999-03-18,6.1507415771484375
1999-03-19,6.088397979736328
1999-03-22,6.1267852783203125
1999-03-23,6.0192975997924805
1999-03-24,5.988584995269775
1999-03-25,6.003941535949707
1999-03-26,6.080718994140625
1999-03-29,6.249627113342285
1999-03-30,6.134462833404541
1999-03-31,6.042331695556641
1999-04-01,6.0346527099609375
1999-04-05,6.180526256561279
1999-04-06,6.1191086769104
1999-04-07,6.057687759399414
1999-04-08,6.1191086769104
1999-04-09,6.234272480010986
1999-04-12,6.280338287353516
1999-04-13,6.272658824920654
1999-04-14,6.195886611938477
1999-04-15,6.464605331420898
1999-04-16,6.668060779571533
1999-04-19,6.7486772537231445
1999-04-20,6.641186714172363
1999-04-21,6.541377544403076
1999-04-22,6.656543731689453
1999-04-23,6.5720906257629395
1999-04-26,6.426211357116699
1999-04-27,6.629673004150391
1999-04-28,6.848487854003906
1999-04-29,7.055783271789551
1999-04-30,6.9367804527282715
1999-05-03,7.109528064727783
1999-05-04,7.117204666137695
1999-05-05,7.013558387756348
1999-05-06,6.994361877441406
1999-05-07,7.036586761474609
1999-05-10,6.955972194671631
1999-05-11,6.979005336761475
1999-05-12,6.848487854003906
1999-05-13,6.883038520812988
1999-05-14,6.833131790161133
1999-05-17,6.806259632110596
1999-05-18,6.648869037628174
1999-05-19,6.740998268127441
1999-05-20,6.817775249481201
1999-05-21,6.925261497497559
1999-05-24,6.76019287109375
