date,close
1998-12-22,5.795299053192139
1998-12-23,5.771010398864746
1998-12-24,5.877261161804199
1998-12-28,5.846908092498779
1998-12-29,5.9440507888793945
1998-12-30,5.895478248596191
1998-12-31,5.874229907989502
1999-01-04,5.780122756958008
1999-01-05,5.849942207336426
1999-01-06,5.91065788269043
1999-01-07,5.889406681060791
1999-01-08,5.922800064086914
1999-01-11,5.764939308166504
1999-01-12,5.767974376678467
1999-01-13,5.8074421882629395
1999-01-14,5.710298538208008
1999-01-15,5.737618923187256
1999-01-19,5.931909561157227
1999-01-20,5.907618045806885
1999-01-21,5.886369705200195
1999-01-22,5.925836086273193
1999-01-25,5.704226493835449
1999-01-26,5.816545486450195
1999-01-27,5.728512287139893
1999-01-28,5.737618923187256
1999-01-29,5.728512287139893
1999-02-01,5.716368675231934
1999-02-02,5.640477180480957
1999-02-03,5.670827388763428
1999-02-04,5.585827350616455
1999-02-05,5.588866233825684
1999-02-08,5.588866233825684
1999-02-09,5.613150596618652
1999-02-10,5.573687553405762
1999-02-11,5.597970008850098
1999-02-12,5.506899356842041
1999-02-16,5.607078552246094
1999-02-17,5.567614555358887
1999-02-18,5.667795181274414
1999-02-19,5.607078552246094
1999-02-22,5.7892255783081055
1999-02-23,5.607078552246094
1999-02-24,5.658688545227051
1999-02-25,5.537257671356201
1999-02-26,5.570652484893799
1999-03-01,5.488685131072998
1999-03-02,5.4067206382751465
1999-03-03,5.409754753112793
1999-03-04,5.494755268096924
1999-03-05,5.588866233825684
1999-03-08,5.525113105773926
1999-03-09,5.509937286376953
1999-03-10,5.491722106933594
1999-03-11,5.53422212600708
1999-03-12,5.594936370849609
1999-03-15,5.61011266708374
1999-03-16,5.588866233825684
1999-03-17,5.537257671356201
1999-03-18,5.6192240715026855
1999-03-19,5.515621662139893
1999-03-22,5.5339555740356445
1999-03-23,5.359778881072998
1999-03-24,5.433117389678955
1999-03-25,5.414781093597412
1999-03-26,5.344500541687012
1999-03-29,5.316998481750488
1999-03-30,5.2314348220825195
1999-03-31,5.219212055206299
1999-04-01,5.329220771789551
1999-04-05,5.372002124786377
1999-04-06,5.344500541687012
1999-04-07,5.414781093597412
1999-04-08,5.558401107788086
1999-04-09,5.518679141998291
1999-04-12,5.598125457763672
